Designator,Mid X,Mid Y,Rotation,Layer
K1,55.25,-64.0,180.0,top
K10,155.25,-136.0,0.0,top
K11,55.25,-154.0,180.0,top
K12,155.25,-154.0,0.0,top
K13,55.25,-172.0,180.0,top
K14,155.25,-172.0,0.0,top
K15,55.25,-190.0,180.0,top
K16,155.25,-190.0,0.0,top
K2,155.25,-64.0,0.0,top
K3,55.25,-82.0,180.0,top
K4,155.25,-82.0,0.0,top
K5,55.25,-100.0,180.0,top
K6,155.25,-100.0,0.0,top
K7,55.25,-118.0,180.0,top
K8,155.25,-118.0,0.0,top
K9,55.25,-136.0,180.0,top
Q1,66.5,-59.75,90.0,top
Q10,144.0,-140.25,-90.0,top
Q11,66.5,-149.75,90.0,top
Q12,144.0,-158.25,-90.0,top
Q13,66.5,-167.75,90.0,top
Q14,144.0,-176.25,-90.0,top
Q15,66.5,-185.75,90.0,top
Q16,144.0,-194.25,-90.0,top
Q2,144.0,-68.25,-90.0,top
Q3,66.5,-77.75,90.0,top
Q4,144.0,-86.25,-90.0,top
Q5,66.5,-95.75,90.0,top
Q6,144.0,-104.25,-90.0,top
Q7,66.5,-113.75,90.0,top
Q8,144.0,-122.25,-90.0,top
Q9,66.5,-131.75,90.0,top
R1,112.4875,-60.925,0.0,top
R10,122.46875,-102.0125,180.0,top
R11,122.46875,-98.7625,180.0,top
R12,88.029879,-113.5,0.0,top
R13,88.029879,-116.5,0.0,top
R14,88.029879,-119.75,0.0,top
R15,122.46875,-117.0125,180.0,top
R16,122.46875,-114.0125,180.0,top
R17,122.46875,-110.7625,180.0,top
R18,88.029879,-125.5,0.0,top
R19,88.029879,-128.5,0.0,top
R2,112.4875,-59.175,0.0,top
R20,88.029879,-131.75,0.0,top
R21,122.46875,-129.0125,180.0,top
R22,122.46875,-126.0125,180.0,top
R23,122.46875,-122.7625,180.0,top
R24,88.029879,-137.5,0.0,top
R25,88.029879,-140.5,0.0,top
R26,88.029879,-143.75,0.0,top
R27,122.46875,-141.0125,180.0,top
R28,122.46875,-138.0125,180.0,top
R29,122.46875,-134.7625,180.0,top
R3,96.25,-61.25,0.0,top
R30,88.029879,-149.5,0.0,top
R31,88.029879,-152.5,0.0,top
R32,88.029879,-155.75,0.0,top
R33,122.46875,-153.0125,180.0,top
R34,122.46875,-150.0125,180.0,top
R35,122.46875,-146.7625,180.0,top
R36,88.029879,-161.5,0.0,top
R37,88.029879,-164.5,0.0,top
R38,88.029879,-167.75,0.0,top
R39,122.46875,-165.0125,180.0,top
R4,96.25,-59.25,0.0,top
R40,122.46875,-162.0125,180.0,top
R41,122.46875,-158.7625,180.0,top
R42,88.029879,-173.5,0.0,top
R43,88.029879,-176.5,0.0,top
R44,88.029879,-179.75,0.0,top
R45,122.46875,-177.0125,180.0,top
R46,122.46875,-174.0125,180.0,top
R47,122.46875,-170.7625,180.0,top
R48,88.029879,-185.5,0.0,top
R49,88.029879,-188.5,0.0,top
R5,96.25,-57.25,0.0,top
R50,88.029879,-191.75,0.0,top
R51,122.46875,-189.0125,180.0,top
R52,122.46875,-186.0125,180.0,top
R53,122.46875,-182.7625,180.0,top
R54,65.05,-71.0,180.0,top
R55,66.5,-63.25,180.0,top
R56,145.45,-57.0,0.0,top
R57,144.0,-64.75,0.0,top
R58,65.05,-89.0,180.0,top
R59,66.5,-81.25,180.0,top
R6,88.029879,-101.5,0.0,top
R60,145.45,-75.0,0.0,top
R61,144.0,-82.75,0.0,top
R62,65.05,-107.0,180.0,top
R63,66.5,-99.25,180.0,top
R64,145.45,-93.0,0.0,top
R65,144.0,-100.75,0.0,top
R66,65.05,-125.0,180.0,top
R67,66.5,-117.25,180.0,top
R68,145.45,-111.0,0.0,top
R69,144.0,-118.75,0.0,top
R7,88.029879,-104.5,0.0,top
R70,65.05,-143.0,180.0,top
R71,66.5,-135.25,180.0,top
R72,145.45,-129.0,0.0,top
R73,144.0,-136.75,0.0,top
R74,65.05,-161.0,180.0,top
R75,66.5,-153.25,180.0,top
R76,145.45,-147.0,0.0,top
R77,144.0,-154.75,0.0,top
R78,65.05,-179.0,180.0,top
R79,66.5,-171.25,180.0,top
R8,88.029879,-107.75,0.0,top
R80,145.45,-165.0,0.0,top
R81,144.0,-172.75,0.0,top
R82,65.05,-197.0,180.0,top
R83,66.5,-189.25,180.0,top
R84,145.45,-183.0,0.0,top
R85,144.0,-190.75,0.0,top
R9,122.46875,-105.0125,180.0,top
U1,135.25,-75.5,0.0,top
U10,114.46875,-127.0125,90.0,top
U11,96.029879,-139.5,-90.0,top
U12,114.46875,-139.0125,90.0,top
U13,96.029879,-151.5,-90.0,top
U14,114.46875,-151.0125,90.0,top
U15,96.029879,-163.5,-90.0,top
U16,114.46875,-163.0125,90.0,top
U17,96.029879,-175.5,-90.0,top
U18,114.46875,-175.0125,90.0,top
U19,96.029879,-187.5,-90.0,top
U2,114.7375,-67.5,0.0,top
U20,114.46875,-187.0125,90.0,top
U21,69.5,-68.525,180.0,top
U22,141.0,-59.475,0.0,top
U23,69.5,-86.525,180.0,top
U24,141.0,-77.475,0.0,top
U25,69.5,-104.525,180.0,top
U26,141.0,-95.475,0.0,top
U27,69.5,-122.525,180.0,top
U28,141.0,-113.475,0.0,top
U29,69.5,-140.525,180.0,top
U3,91.725,-75.485,-90.0,top
U30,141.0,-131.475,0.0,top
U31,69.5,-158.525,180.0,top
U32,141.0,-149.475,0.0,top
U33,69.5,-176.525,180.0,top
U34,141.0,-167.475,0.0,top
U35,69.5,-194.525,180.0,top
U36,141.0,-185.475,0.0,top
U4,125.55,-92.15,-90.0,top
U5,96.029879,-103.5,-90.0,top
U6,114.46875,-103.0125,90.0,top
U7,96.029879,-115.5,-90.0,top
U8,114.46875,-115.0125,90.0,top
U9,96.029879,-127.5,-90.0,top
Y1,79.65,-71.5,180.0,top
Y2,108.4,-68.6,180.0,top
